domain,flag_description,dataset
mpidailymagazine.com,fake,https://bit.ly/2FFUCjF
msnbc.website,fake,https://bit.ly/2FFUCjF
myfreshnews.com,fake,https://bit.ly/2FFUCjF
myzonetoday.com,fake,https://bit.ly/2FFUCjF
nationonenews.com,fake,https://bit.ly/2FFUCjF
nbc.com.co,fake,https://bit.ly/2FFUCjF
newsbbc.net,fake,https://bit.ly/2FFUCjF
newsfrompolitics.com,fake,https://bit.ly/2FFUCjF
newslo.com,fake,https://bit.ly/2FFUCjF
newswatch28.com,fake,https://bit.ly/2FFUCjF
newswatch33.com,fake,https://bit.ly/2FFUCjF
newswithviews.com,fake,https://bit.ly/2FFUCjF
onlineconservativepress.com,fake,https://bit.ly/2FFUCjF
pakalertpress.com,fake,https://bit.ly/2FFUCjF
politicalo.com,fake,https://bit.ly/2FFUCjF
politicalsitenews.com,fake,https://bit.ly/2FFUCjF
politicalupdator.com,fake,https://bit.ly/2FFUCjF
prntly.com,fake,https://bit.ly/2FFUCjF
proamericanews.com,fake,https://bit.ly/2FFUCjF
react365.com,fake,https://bit.ly/2FFUCjF
rhotv.com,fake,https://bit.ly/2FFUCjF
rickwells.us,fake,https://bit.ly/2FFUCjF
stormcloudsgathering.com,fake,https://bit.ly/2FFUCjF
subjectpolitics.com,fake,https://bit.ly/2FFUCjF
success-street.com,fake,https://bit.ly/2FFUCjF
supremepatriot.com,fake,https://bit.ly/2FFUCjF
theamericanindependent.wordpress.com,fake,https://bit.ly/2FFUCjF
thebostontribune.com,fake,https://bit.ly/2FFUCjF
thecommonsenseshow.com,fake,https://bit.ly/2FFUCjF
thecontroversialfiles.net,fake,https://bit.ly/2FFUCjF
thefreepatriot.org,fake,https://bit.ly/2FFUCjF
thelastgreatstand.com,fake,https://bit.ly/2FFUCjF
thereporterz.com,fake,https://bit.ly/2FFUCjF
therightscoop.com,fake,https://bit.ly/2FFUCjF
thetruthdivision.com,fake,https://bit.ly/2FFUCjF
thetruthseeker.co.uk,fake,https://bit.ly/2FFUCjF
threepercenternation.com,fake,https://bit.ly/2FFUCjF
trumpvision365.com,fake,https://bit.ly/2FFUCjF
undergroundworldnews.com,fake,https://bit.ly/2FFUCjF
unitedmediapublishing.com,fake,https://bit.ly/2FFUCjF
usa2016elections.com,fake,https://bit.ly/2FFUCjF
usadailypolitics.com,fake,https://bit.ly/2FFUCjF
usahitman.com,fake,https://bit.ly/2FFUCjF
usamagazinestudio.com,fake,https://bit.ly/2FFUCjF
usanewsflash.com,fake,https://bit.ly/2FFUCjF
usanewsinsider.com,fake,https://bit.ly/2FFUCjF
usanewspolitics.com,fake,https://bit.ly/2FFUCjF
usaonlinepolitics.com,fake,https://bit.ly/2FFUCjF
usaphase.com,fake,https://bit.ly/2FFUCjF
usapoliticsnow.com,fake,https://bit.ly/2FFUCjF
usasupreme.com,fake,https://bit.ly/2FFUCjF
usatoday.com.co,fake,https://bit.ly/2FFUCjF
usatwentyfour.com,fake,https://bit.ly/2FFUCjF
usconservativetoday.com,fake,https://bit.ly/2FFUCjF
usfanzone.com,fake,https://bit.ly/2FFUCjF
ushealthyadvisor.com,fake,https://bit.ly/2FFUCjF
uspoliticslive.com,fake,https://bit.ly/2FFUCjF
vigilantcitizen.com,fake,https://bit.ly/2FFUCjF
viralliberty.com,fake,https://bit.ly/2FFUCjF
webdaily.com,fake,https://bit.ly/2FFUCjF
weeklyworldnews.com,fake,https://bit.ly/2FFUCjF
worldpoliticsus.com,fake,https://bit.ly/2FFUCjF
worldrumor.com,fake,https://bit.ly/2FFUCjF
worldstoriestoday.com,fake,https://bit.ly/2FFUCjF
yourfunpage.com,fake,https://bit.ly/2FFUCjF
farmwars.info,fake,https://bit.ly/2FFUCjF
actforamerica.org,hate,https://bit.ly/2rEc4uV
adflegal.org,hate,https://bit.ly/2rEc4uV
americanborderpatrol.com,hate,https://bit.ly/2FFUCjF
amren.com,conspiracy,https://bit.ly/2FFUCjF
aryannationswordwide1488.org,hate,https://bit.ly/2FFUCjF
barenakedislam.com,hate,https://bit.ly/2FFUCjF
barnesreview.org,hate,https://bit.ly/2FFUCjF
bigbluevision.com,hate,https://bit.ly/2FFUCjF
christianfightback.com,hate,https://bit.ly/2FFUCjF
creativitymovement.net,hate,https://bit.ly/2rEc4uV
dailyken.com,hate,https://bit.ly/2FFUCjF
dailystormer.com,conspiracy,https://bit.ly/2FFUCjF
darkmoon.me,hate,https://bit.ly/2FFUCjF
davidduke.com,hate,https://bit.ly/2FFUCjF
